hpo_id	hpo_name	gene_id
HP:0001894	Thrombocytosis	3459
HP:0003621	Juvenile onset	6772
HP:0002840	Lymphadenitis	3394
HP:0002719	Recurrent infections	3594
HP:0020086	BCGitis	3593
HP:0032262	Pulmonary tuberculosis	1536
HP:0002202	Pleural effusion	57169
HP:0009098	Chronic oral candidiasis	6097
HP:0002135	Basal ganglia calcification	9636
HP:0001522	Death in infancy	4905
HP:0001250	Seizure	2775
HP:0001250	Seizure	2902
HP:0001250	Seizure	2917
HP:0001250	Seizure	3736
HP:0001250	Seizure	4761
HP:0001250	Seizure	6324
HP:0001250	Seizure	6326
HP:0001250	Seizure	6792
HP:0001250	Seizure	8573
HP:0001250	Seizure	9091
HP:0001250	Seizure	11284
HP:0001250	Seizure	23312
HP:0001250	Seizure	51227
HP:0001250	Seizure	79751
HP:0001250	Seizure	81603
HP:0001250	Seizure	140679
HP:0001250	Seizure	150094
HP:0001250	Seizure	170302
HP:0000006	Autosomal dominant inheritance	10058
HP:0002014	Diarrhea	3514
HP:0002719	Recurrent infections	3501
HP:0003593	Infantile onset	1642
HP:0002014	Diarrhea	50674
HP:0000006	Autosomal dominant inheritance	3784
HP:0003593	Infantile onset	3588
HP:0000007	Autosomal recessive inheritance	2147
HP:0000006	Autosomal dominant inheritance	1786
HP:0002754	Osteomyelitis	9517
HP:0002754	Osteomyelitis	10558
HP:0002754	Osteomyelitis	25923
HP:0002754	Osteomyelitis	51062
HP:0000006	Autosomal dominant inheritance	4878
HP:0000006	Autosomal dominant inheritance	3067
HP:0000006	Autosomal dominant inheritance	114798
HP:0000729	Autistic behavior	5702
HP:0000006	Autosomal dominant inheritance	6628
HP:0000729	Autistic behavior	23414
HP:0000100	Nephrotic syndrome	190
HP:0000100	Nephrotic syndrome	2516
HP:0000100	Nephrotic syndrome	2626
HP:0000100	Nephrotic syndrome	4214
HP:0000100	Nephrotic syndrome	6662
HP:0000100	Nephrotic syndrome	6736
HP:0000100	Nephrotic syndrome	6845
HP:0000100	Nephrotic syndrome	7490
HP:0000100	Nephrotic syndrome	23414
HP:0000100	Nephrotic syndrome	51741
HP:0000100	Nephrotic syndrome	57647
HP:0000100	Nephrotic syndrome	58524
HP:0000006	Autosomal dominant inheritance	2702
HP:0000006	Autosomal dominant inheritance	9394
HP:0001250	Seizure	1630
HP:0001250	Seizure	1848
